français,arabe,transcription,pronociation
je ,أنا ,ʾana ,[ʔænæ] 
"tu, vous (formel) ",أنت ; أنت ,"ʾanta (M), ʾanti (F) ","[ʔæntæ (M), ʔæntı (F)] "
il ,هو ,huwa ,[hʊwæ] 
nous ,نحن ,naḥnu ,[næħnʊ] 
vous (pluriel) ,انتم ; انتن ; انتما ,"ʾantum (M), ʾantunna (F), ʾantumā (Duel) ","[ʔæntʊm (M), ʔæntʊnːæ (F), ʔæntʊmæː (duel)] "
ils ,هم ; هن ; هما ,"hum (M), hunna (F), humā (Duel) ","[hʊmː (M), hʊnːæ (F), hʊmæː (duel)] "
"ceci, celui-ci ",هذا ; هذﻩ ; ﻫﺬﻯ ,"hāḏā (M), hāḏihi, hāḏī (F) ","[hæːðæː , ,] "
"cela, celui-là ",ذلك ; ﺫﺍﻙ ; تلك ; تاك ,"ḏālika, ḏāka (M), tilka, tāka (F), ","[ðæːlıkæ , , ] "
ici ,هنا ,hunā ,[hʊnæː] 
là ,هناك ; هنالك ,"hunāka, hunālika ","[hʊnæːk ,] "
qui ,من ,man ,[mæn] 
quoi ,ما ; ماذا ,"mā, māḏā ","[mæː, mæːðæː] "
où ,اين ,ʾayna ,[ʔɛ̈ınæ] 
quand ,متى ,matā ,[mætæː] 
comment ,كيف ,kayfa ,[kɛ̈ıfæ] 
ne ... pas ,ما ; لا ; لم ,"mā (passé), lā (présent), lam (perfectif) ","[mæ: ,læː, læm] "
tout ,كل ,kull ,[kʊlː] 
beaucoup ,كثير ,kaṯīr ,[kæθiːr] 
quelques ,بعض ,baʿḍ ,[bæʕdˤ] 
peu ,قليل ,qalīl ,[qɑliːl] 
autre ,آخر ; اخرى ; اخر ,"ʾāḫar (M), ʾuḫrā (F), ʾuḫar (Pl) ","[ʔæːxær , ,] "
un ,واحد ; واحدة ,"wāḥid (M), waḥda (F) ","[wæːħıd ,] "
